Tertile,N,Mean accuracy,Mean EF%,Pearson r,95% CI,p (Pearson),Spearman rho,p (Spearman)
Low (T1),5465,50.765380753610906,76.01413532160667,0.008000607381950544,"[-0.019, 0.035]",0.5543032346044009,-0.011657268507914483,0.3889059336349992
Medium (T2),5496,76.03269841596038,74.30899377117187,0.005006080136550054,"[-0.021, 0.031]",0.7106049694766848,0.014987104962809493,0.26662049415834793
High (T3),5428,93.85206835196871,63.81976040181846,-0.018032080082862632,"[-0.045, 0.009]",0.18407412295443584,0.017385674535633267,0.20030233120455515
