Category,Low mean,High mean,Diff (L-H),t,p,Cohen's d
KG Navigation,58.85706823705926,44.944769719366526,13.912298517692733,16.060860795770875,2.1923282297675514e-57,0.30781719022280246
Other Process,11.789108091868293,10.125366252840875,1.6637418390274181,3.4090266320769538,0.0006543209551580981,0.06531308966769599
Task-level,20.24208979374482,30.82481753204289,-10.582727738298068,-14.83828479869583,2.6118900759646363e-49,-0.28452194614394094
Self-Regulation,5.367127253512528,8.748747144282783,-3.3816198907702546,-8.039021481422983,1.0060766899163267e-15,-0.15418453297001117
Self-level,2.863093360579807,4.551561966569929,-1.6884686059901224,-6.046431148415691,1.5330790397062466e-09,-0.11597058250931347
