Category,Mean %,SD %,r (Pearson),95% CI lo,95% CI hi,p (Pearson),rho (Spearman),p (Spearman)
Knowledge Graph Navigation,53.128514708506806,45.067678950014795,-0.10737346169332088,-0.12248247842903265,-0.09221468690813937,3.149973465423089e-43,-0.11756064010309993,1.587743680601427e-51
Other Process-level (MOOCCube + Aminer),11.727793425342123,26.010418745099983,-0.012744466035947713,-0.028049362003440784,0.002566403755628636,0.1027885797854995,-0.033888689255070985,1.4291813262714546e-05
"Task-level (Preset Q&A, Baidu, Baike, FAQ, etc.)",24.408395991077292,36.545490164795474,0.09679955166920991,0.08161013186409073,0.11194401554067863,2.0238588435343112e-35,0.09200846977514728,3.7653031794170164e-32
Self-Regulation (problem-related),6.541611084368837,21.056007328757595,0.05486317479508396,0.03958605708276663,0.07011464923939983,2.09041714645567e-12,0.058242599001369376,8.524745642758245e-14
"Self-level (entertainment chatbot, poetry)",3.3674179076582824,13.820184170716384,0.033372440213989385,0.01807130461691757,0.04865794773780667,1.926974929302908e-05,0.03306142319608441,2.302437339350105e-05
